run_id,episode,task,success,latency_sec,attempts,flaky
run_1755720828,0,browser_search,True,0.33,1,0
run_1755720828,1,browser_search,True,0.341,1,0
run_1755720828,2,browser_search,True,0.37,1,0
run_1755720828,3,browser_search,True,0.44,1,0
run_1755720828,4,browser_search,True,0.34,1,0
run_1755720828,5,browser_search,True,0.421,1,0
run_1755720828,6,browser_search,True,0.419,1,0
run_1755720828,7,browser_search,True,0.36,1,0
run_1755720828,8,browser_search,True,0.44,1,0
run_1755720828,9,browser_search,True,0.35,1,0
run_1755720828,10,browser_search,True,0.45,1,0
run_1755720828,11,browser_search,True,0.4,1,0
run_1755720828,12,browser_search,True,0.409,1,0
run_1755720828,13,browser_search,True,0.411,1,0
run_1755720828,14,browser_search,True,0.42,1,0
run_1755720828,15,browser_search,True,0.39,1,0
run_1755720828,16,browser_search,True,0.34,1,0
run_1755720828,17,browser_search,True,0.42,1,0
run_1755720828,18,browser_search,True,0.439,1,0
run_1755720828,19,browser_search,True,0.4,1,0
run_1755720828,20,browser_search,True,0.41,1,0
run_1755720828,21,browser_search,True,0.41,1,0
run_1755720828,22,browser_search,True,0.409,1,0
run_1755720828,23,browser_search,True,0.36,1,0
run_1755720828,24,browser_search,True,0.37,1,0
